id,userType,userId,feedbackText,category,priority,rating,date,timestamp,status,page
CLIENT_0951,client,user_client_0951,الإشعارات كثيرة جداً - أريد تخصيصها,الإشعارات,medium,3,2025-01-13,2025-01-13T00:00:00,reviewed,contracts
ADMIN_0651,admin,user_admin_0651,الإحصائيات لا تتحدث تلقائياً - يجب تحديث الصفحة,لوحة التحكم,high,2,2025-01-16,2025-01-16T00:00:00,reviewed,settings
SUPPLIER_0243,supplier,user_supplier_0243,لوحة متابعة مشاريعي ممتازة,المشاريع والمتابعة,low,5,2025-01-21,2025-01-21T00:00:00,in_progress,stats
CLIENT_2106,client,user_client_2106,لا يمكنني حفظ الطلب كمسودة - يجب إكماله دفعة واحدة,إنشاء وإدارة الطلبات,high,2,2025-01-12,2025-01-12T00:00:00,reviewed,messages
ADMIN_2418,admin,user_admin_2418,البحث في المستخدمين بطيء - يحتاج تحسين,إدارة المستخدمين,medium,3,2025-01-19,2025-01-19T00:00:00,new,admin-dashboard
ADMIN_1831,admin,user_admin_1831,البحث في المستخدمين بطيء - يحتاج تحسين,إدارة المستخدمين,medium,3,2025-01-08,2025-01-08T00:00:00,new,offers
SUPPLIER_0236,supplier,user_supplier_0236,لوحة متابعة مشاريعي ممتازة,المشاريع والمتابعة,low,5,2025-01-10,2025-01-10T00:00:00,new,supplier-setup
CLIENT_1057,client,user_client_1057,عملية الدفع سلسة لكن أتمنى لو كانت أسرع,الدفع والمحفظة,medium,4,2025-01-03,2025-01-03T00:00:00,new,payments
SUPPLIER_0193,supplier,user_supplier_0193,لا يمكنني تعديل عرضي بعد إرساله,تقديم وإدارة العروض,high,2,2025-01-07,2025-01-07T00:00:00,new,my-offers
SUPPLIER_1338,supplier,user_supplier_1338,كشف الأرباح غير واضح - أريد تفاصيل أكثر,الدفع والمحفظة,medium,3,2025-01-13,2025-01-13T00:00:00,reviewed,create-offer
ADMIN_1791,admin,user_admin_1791,التقارير مفيدة لكن أتمنى تصدير أفضل,التقارير والإحصائيات,medium,4,2025-01-04,2025-01-04T00:00:00,in_progress,users
ADMIN_0459,admin,user_admin_0459,مراجعة مستندات التوثيق سهلة لكن بطيئة,التوثيق,medium,3,2025-01-05,2025-01-05T00:00:00,in_progress,settings
CLIENT_0079,client,user_client_0079,لم أستطع إعادة تعيين كلمة المرور - الرابط لا يعمل,التسجيل والمصادقة,high,1,2025-01-17,2025-01-17T00:00:00,new,login
